 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"351519 ESPIRITO SANTO DO TURVO";16375,21
"351520 ESTRELA D'OESTE";50569,15
"351530 ESTRELA DO NORTE";15092,05
"351535 EUCLIDES DA CUNHA PAULISTA";9917,04
"351540 FARTURA";14990,88
"351550 FERNANDOPOLIS";22608,09
"351560 FERNANDO PRESTES";23333,29
"351565 FERNAO";21307,25
"351570 FERRAZ DE VASCONCELOS";14377,76
"351580 FLORA RICA";20608,42
"351590 FLOREAL";18040,34
"351600 FLORIDA PAULISTA";13203,81
"351610 FLORINIA";38754,28
"351620 FRANCA";21804,85
"351630 FRANCISCO MORATO";7415,68
"351640 FRANCO DA ROCHA";16407,64
"351650 GABRIEL MONTEIRO";15246,74
"351660 GALIA";13118,16
"351670 GARCA";19989,44
"351680 GASTAO VIDIGAL";11301,23
"351685 GAVIAO PEIXOTO";21566,50
"351690 GENERAL SALGADO";26590,23
"351700 GETULINA";14853,96
"351710 GLICERIO";17242,08
"351720 GUAICARA";13065,01
"351730 GUAIMBE";10663,39
"351740 GUAIRA";39793,63
"351750 GUAPIACU";16796,25
"351760 GUAPIARA";18709,88
"351770 GUARA";19127,47
"351780 GUARACAI";21146,09
"351790 GUARACI";21143,70
"351800 GUARANI D'OESTE";12624,12
"351810 GUARANTA";17143,27
"351820 GUARARAPES";22166,32
"351830 GUARAREMA";60943,13
"351840 GUARATINGUETA";35017,15
"351850 GUAREI";12069,50
"351860 GUARIBA";19081,41
"351870 GUARUJA";21997,93
"351880 GUARULHOS";38016,46
"351885 GUATAPARA";28146,21
"351890 GUZOLANDIA";9989,89
"351900 HERCULANDIA";19659,35
"351905 HOLAMBRA";47456,78
"351907 HORTOLANDIA";44002,84
"351910 IACANGA";40415,53
"351920 IACRI";18708,07
"351925 IARAS";11163,66
"351930 IBATE";16776,62
"351940 IBIRA";15822,59
"351950 IBIRAREMA";22030,85
"351960 IBITINGA";18598,40
"351970 IBIUNA";16645,93
"351980 ICEM";19501,29
"351990 IEPE";20262,58
"352000 IGARACU DO TIETE";10229,66
"352010 IGARAPAVA";34318,84
"352020 IGARATA";15660,49
"352030 IGUAPE";44165,41
"352040 ILHABELA";105112,86
"352042 ILHA COMPRIDA";242646,02
"352044 ILHA SOLTEIRA";17622,68
"352050 INDAIATUBA";46404,74
"352060 INDIANA";10265,94
"352070 INDIAPORA";15331,44
"352080 INUBIA PAULISTA";29186,44
"352090 IPAUSSU";20886,88
"352100 IPERO";12991,17
"352110 IPEUNA";82466,86
"352115 IPIGUA";12265,33
"352120 IPORANGA";8527,80
"352130 IPUA";18482,93
"352140 IRACEMAPOLIS";25285,29
"352150 IRAPUA";12370,59
"352160 IRAPURU";8707,62
"352170 ITABERA";17126,78
"352180 ITAI";18139,79
"352190 ITAJOBI";26015,69
"352200 ITAJU";14435,59
"352210 ITANHAEM";13939,78
"352215 ITAOCA";9101,94
"352220 ITAPECERICA DA SERRA";19213,78
"352230 ITAPETININGA";22389,40
"352240 ITAPEVA";18956,05
"352250 ITAPEVI";39198,54
"352260 ITAPIRA";37002,05
"352265 ITAPIRAPUA PAULISTA";6610,79
"352270 ITAPOLIS";28400,62
"352280 ITAPORANGA";11276,04
"352290 ITAPUI";38634,14
"352300 ITAPURA";14866,25
"352310 ITAQUAQUECETUBA";14687,81
